AttackType_none,Нет
AttackType_melee,Ближняя
AttackType_ranged,Дальняя
EffectType_Attack,Атака
EffectType_Physical,Физический
EffectType_Magic,Магический
EffectType_StatusBuff,Усиление
EffectType_StatusDebuff,Ослабление
EffectType_StatusDisable,
EffectType_StatusStealth,
EffectType_Dominate,Подчинение
EffectType_Transmute,Превращение
EffectType_Disable,Обезвреживание
EffectType_Astrolabe,Astrolabe
EffectType_RingSorcery,RingSorcery
EffectType_Energizer,Energizer
EffectType_Transfigure,Преображение
EffectType_Push,Толчок
EffectType_Splash,Урон по области
EffectType_Cleave,Рассечение
EffectType_DOT,
EffectType_Buff,
EffectType_DeBuff,
EffectType_Returned,
EffectType_BarrierIdol,
EffectType_NeutralAggro,
EffectType_SuperiorMagic,Высший магический
EffectType_SuperiorPhysical,Высший физический
ImmunityType_MagicImmunity1,Магический иммунитет
ImmunityType_DominateImmunity,Иммунитет к Подчинению
ImmunityType_AncientImmunity,Иммунитет к Древним
ImmunityType_BossImmunity,Иммунитет к Боссам
ImmunityType_SiegeImmunity,Иммунитет к осадным машинам
ImmunityType_DisableImmunity,Иммунитет к отключению
ImmunityType_TargetingImmunity,Иммунитет к выцеливанию
ImmunityType_AstrolabeImmunity,Иммунитет к Astrolabe
ImmunityType_RingSorceryImmunity,Иммунитет к RingSorcery
ImmunityType_EnergizerImmunity,Иммунитет к Energizer
ImmunityType_TransfigureImmunity,
ImmunityType_GadgetImmunity,Иммунитет Устройств
ImmunityType_CourierImmunity,Иммунитет Курьеров
ImmunityType_AttackImmunity,
ImmunityType_IndirectImmunity,Иммунитет к непрямым атакам
ImmunityType_AncientImmunity2,
ImmunityType_PhysicalImmunity,Иммунитет к физическим атакам
ImmunityType_BarrierImmunity,Иммунитет к Barrier Idol
HeroCategory_cc,Сдерживание врагов
HeroCategory_magic,Магический урон
HeroCategory_muc,Управление Multi-unit
HeroCategory_physical,Физический урон
HeroCategory_protective,Защита
HeroCategory_tank,Танк
StealthType_hero,Герой
StealthType_item,Предмет
StealthType_ward,Ward
StealthType_Unrevealable,
RevealType_ward,Ward of Revelation
RevealType_eye,Bound Eye
RevealType_tower,Башня
ArmorType_normal,Броня
ArmorType_magic,Магическая броня
TargetScheme_null,
TargetScheme_all,Все
TargetScheme_nothing,
TargetScheme_self,Ваш герой
TargetScheme_enemy_units_structures_and_self,Ваш герой/Враги и Строения
TargetScheme_enemy_units,Войска врагов
TargetScheme_enemy_heroes,Герои врагов
TargetScheme_ally_units,Войска союзников
TargetScheme_ally_heroes,Герои союзников
TargetScheme_all_units,Все войска
TargetScheme_all_visible_units,Все видимые войска
TargetScheme_ally_ranged_units,Стрелки союзников
TargetScheme_ally_ranged_heroes,Герои-стрелки союзников
TargetScheme_ally_melee_units,Бойцы союзников
TargetScheme_ally_buildings,Здания союзников
TargetScheme_enemy_units_and_Towers,Войска/Башни врагов
TargetScheme_enemy_objects,Объекты врагов
TargetScheme_enemy_objects_not_gadgets,Объекты врагов не гаджеты
TargetScheme_teleport_targets,Цели телепортации
TargetScheme_my_units,Ваши войска
TargetScheme_owner,
TargetScheme_owned,
TargetScheme_trees,Деревья
TargetScheme_enemy_melee_units,Бойцы врагов
TargetScheme_enemy_creeps,Существа врагов
TargetScheme_attack,Цели атаки
TargetScheme_attack_all,Разрешенные цели атаки
TargetScheme_bottle,Цели Bottle
