// Ability_KingKlout1	
Ability_KingKlout1_name	Goblin Toss
Ability_KingKlout1_description	За King Klout следуют 7 подручных, которых он может бросать во врагов.
Ability_KingKlout1_description_simple	Выберите врага, чтобы швырнуть в него гоблина с одним из следующих эффектов:\n\n- ^bСИНИЙ^*: Наносит ^o{70,90,110,130} ед. магического урона^* и по цепочке задевает ближайших врагов.\n- ^rКРАСНЫЙ^*: Наносит ^o{30,40,50,60} ед. магического урона^* и дополнительно ^o{55,70,85,100} ед. магического урона^* с ^oзамедлением движения на {10,15,20,25}%^* на {3} секунды в области (ослабевающий эффект).\n- ^gЗЕЛЁНЫЙ^*: Действует так же, как и и ^rКРАСНЫЙ^*, но отскакивает ещё к двум ближайшим врагам.
Ability_KingKlout1_effect_header	Эффекты Урона от подручного
Ability_KingKlout1_effect_header2	Эффекты Замедления от подручного
Ability_KingKlout1_IMPACT_effect	При изучении ваш герой получает до ^o7 подручных^*, которые следуют за господином. Каждые 8 секунд приходит 1 новый подручный. Выберите врага, чтобы швырнуть в него гоблина с одним из следующих эффектов:\n\n- ^bСИНИЙ^*: Наносит ^o{70,90,110,130} ед. магического урона^* и по цепочке задевает ближайших врагов.\n- ^rКРАСНЫЙ^*: Наносит ^o{30,40,50,60} ед. магического урона^* и дополнительно ^o{55,70,85,100} ед. магического урона^* с ^oзамедлением движения на {10,15,20,25}%^* на {3} секунды в области (ослабевающий эффект).\n- ^gЗЕЛЁНЫЙ^*: Действует так же, как и и ^rКРАСНЫЙ^*, но отскакивает ещё к двум ближайшим врагам.\n\n-Если рядом с вашим героем умирает герой врага и у King Klout нет 7 подручных, рядом появится новый ^rКРАСНЫЙ^* подручный, или один из существующих подручных будет улучшен.\n-Каждый 5-й появившийся подручный оказывается ^rКРАСНЫМ^*.\n-При появлении ^bСИНЕГО ^*подручного есть 10%-ный шанс, что этот подручный будет улучшен до ^rКРАСНОГО^*.\n-При появлении ^rКРАСНОГО^* подручного есть 25%-ный шанс, что этот подручный будет улучшен до ^gЗЕЛЁНОГО^*.
Ability_KingKlout1_tooltip_flavor	Вперед, мои подручные!
	
// State_KingKlout_Ability1_DOT	
State_KingKlout_Ability1_DOT_name	Minion Burn
State_KingKlout_Ability1_DOT_FRAME_effect	{18,23,28,33} ед. магического урона в секунду
	
// State_KingKlout_Ability1_Slow	
State_KingKlout_Ability1_Slow_name	Minion Slow
	
// Ability_KingKlout2	
Ability_KingKlout2_name	Bluster
Ability_KingKlout2_description	Голос King Klout воздействует на окружающих, обезвреживая и заставляя их онеметь.
Ability_KingKlout2_description_simple	При использовании и каждые последующие 2 секунды в течение 6 секунд (итого 4 раза), наносит ^o{0,20,40,60} ед. магического урона^* всем врагам вокруг, на ^o1 секунду обезоруживая и заставляя их онеметь^*.\n\nМногократное попадание по героям врага улучшает подручных вашего героя.
Ability_KingKlout2_effect_header	Эффекты Фанфарона
Ability_KingKlout2_IMPACT_effect	При использовании и каждые последующие 2 секунды в течение 6 секунд (итого 4 раза), наносит ^o{0,20,40,60} ед. магического урона^* всем врагам вокруг, на ^o1 секунду обезоруживая и заставляя их онеметь^*.\n\nМногократное попадание по героям врага улучшает подручных вашего героя.\n\n-За каждых 4 задетых героев врага, если у King Klout нет 7 подручных, рядом появится новый ^rКРАСНЫЙ^* подручный, или один из существующих подручных будет улучшен.
Ability_KingKlout2a_tooltip_flavor	Прекрати нападать на меня!!
	
// State_KingKlout_Ability2a_Pulse	
State_KingKlout_Ability2a_Pulse_name	Blustering!
	
// State_KingKlout_Ability2a_CCsor	
State_KingKlout_Ability2a_CC_name	Bluster
	
// Ability_KingKlout3	
Ability_KingKlout3_name	Conscription
Ability_KingKlout3_description	Откуда у King Klout столько подручных? Секрет в том, что он может превратить в гоблина кого угодно.
Ability_KingKlout3_effect_header	Эффекты Оравы
Ability_KingKlout3_effect_header2	Эффекты Оравы
Ability_KingKlout3_description_simple	Любой наносимый вашим героем урон (кроме постепенного) накладывает на цели заряды Орава. Каждый такой заряд уменьшает ^oмагическую броню на {0.4,0.6,0.8,1} ед.^*.\n\nКогда на герое врага накапливается ^o{5} зарядов^* Оравы, он получает ^o{20,40,60,80} ед. магического урона^*, превращается и замедляется на ^o{1.5,2,2.5,3} секунды^*, а один из подручных King Klout улучшается.
Ability_KingKlout3_ATTACK_IMPACT_effect	Любой наносимый вашим героем урон (кроме постепенного) накладывает на цели заряды Орава. Каждый такой заряд уменьшает ^oмагическую броню на {0.4,0.6,0.8,1} ед.^*.\n\nКогда на герое врага накапливается ^o{5} зарядов^* Оравы, он получает ^o{20,40,60,80} ед. магического урона^*, превращается и замедляется на ^o{1.5,2,2.5,3} секунды^*, а один из подручных King Klout улучшается.\n\n-После превращения, цель в течение 5 секунд не может получать заряды Оравы.\n-При превращении героя врага, если у King Klout нет 7 подручных, рядом появится новый ^rКРАСНЫЙ^* подручный, или один из существующих подручных будет улучшен.
Ability_KingKlout3_tooltip_flavor	Теперь ты принадлежишь МНЕ!
	
// State_KingKlout_Ability3	
State_KingKlout_Ability3_name	Conscription
State_KingKlout_Ability3_description	5 зарядов превращают в подручного гоблина
	
// State_KingKlout_Ability3_Banish	
State_KingKlout_Ability3_Banish_name	Conscription
State_KingKlout_Ability3_Banish_description	Ваш герой превращен в подручного гоблина!
	
// State_KingKlout_Ability3_NoMorph	
State_KingKlout_Ability3_NoMorph_name	Conscription Immunity
State_KingKlout_Ability3_NoMorph_FRAME_effect	На время действия не может стать целью Оравы King Klout.
	
// Ability_KingKlout4	
Ability_KingKlout4_name	Parade of Power
Ability_KingKlout4_description	King Klout выпускает шар страха в заданном направлении и может перемещаться к нему.
Ability_KingKlout4_description_simple	Выберите направление, в котором полетит шар энергии и поразит врагов на линии. Каждый задетый враг получает до ^o{150,250,350} ед. магического урона^*. Воины под управлением игроков ^oпугаются на срок до {1.5,2,2.5} секунд^*. В любой момент ваш герой может снова использовать эту способность и телепортироваться к шару, отправив к прошлому месту своего пребывания новое ^oПроявление силы^*.\n\nЕсли Проявление силы задевает героев врага - подручные King Klout будут улучшены.
Ability_KingKlout4_effect_header	Эффекты Проявления силы
